"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.170307107E2,6.500011758E1,2.546797926E1,4.133362919E0,1.226404067E0,1.790470770E2,3.442198816E0,3.606881416E0
2.180307026E2,6.500010250E1,2.546798164E1,4.119177447E0,1.508411551E0,1.747637076E2,3.436215405E0,3.679843013E0
2.190306938E2,6.500008762E1,2.546798604E1,4.351322085E0,1.246920062E0,1.762452986E2,3.481298278E0,3.826216762E0
2.200306852E2,6.500007110E1,2.546798735E1,4.457048625E0,1.569301357E0,1.767259706E2,3.484725777E0,3.735718870E0
2.210306768E2,6.500005757E1,2.546798444E1,4.458653561E0,1.249800785E0,1.837002824E2,3.530852738E0,3.880582906E0
2.220306698E2,6.500003920E1,2.546798137E1,4.650287567E0,1.588982888E0,1.833264434E2,3.477136049E0,3.778345224E0
2.230306619E2,6.500002691E1,2.546797916E1,4.729069202E0,1.306587318E0,1.879424285E2,3.489094050E0,4.102311411E0
2.240306566E2,6.500001422E1,2.546797105E1,3.563161784E0,1.275781604E0,1.894189012E2,3.437992445E0,3.939477935E0
2.250306484E2,6.499999934E1,2.546796119E1,3.767771713E0,1.312650555E0,1.932465897E2,3.479840120E0,4.119778201E0
2.260306429E2,6.499998618E1,2.546795242E1,3.406940972E0,1.293719345E0,1.948803713E2,3.471711347E0,4.113346505E0
2.270306357E2,6.499997198E1,2.546794246E1,3.601175116E0,1.388143411E0,1.944967075E2,3.438048458E0,4.181408112E0
2.280306298E2,6.499995942E1,2.546793759E1,4.269405353E0,1.261607179E0,1.936413825E2,3.410741612E0,4.259956413E0
2.290306237E2,6.499994237E1,2.546792679E1,4.365147674E0,1.800516335E0,1.919029292E2,3.449384285E0,4.106106068E0
2.300306189E2,6.499993207E1,2.546791941E1,3.958489574E0,1.251929863E0,1.945095782E2,3.454180945E0,4.330927675E0
2.310306132E2,6.499991345E1,2.546791116E1,4.017124312E0,1.698773350E0,1.927118218E2,3.493656686E0,4.076711559E0
2.320306067E2,6.499990373E1,2.546790625E1,4.025595687E0,1.223089934E0,1.951044619E2,3.529435156E0,4.176348475E0
2.330306020E2,6.499989230E1,2.546790327E1,4.226235702E0,1.073597763E0,1.917286806E2,3.567977044E0,3.837657651E0
2.340305977E2,6.499987821E1,2.546789379E1,4.107234120E0,1.217180716E0,1.908430245E2,3.547902834E0,3.882388948E0
2.350305927E2,6.499985835E1,2.546787965E1,4.664065730E0,1.659571699E0,1.914125505E2,3.607623954E0,3.988123237E0
2.360305883E2,6.499985068E1,2.546787689E1,4.422192466E0,1.228250843E0,1.916634901E2,3.644287709E0,4.588581346E0
